,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
0,AGN,6.61e-15,8.3e-15,9.97e-15,2.66e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.47,9999999.0
1,AGN,1.66e-14,1.79e-14,1.61e-14,2.98e-14,9999999.0,9999999.0,19.88,9999999.0,9999999.0,9999999.0,9999999.0,17.205,15.795,12.353,9999999.0,9999999.0,9999999.0,9999999.0,18.86,9999999.0
2,AGN,2.6e-14,2.69e-14,2.59e-14,6.64e-14,9999999.0,9999999.0,18.06,9999999.0,9999999.0,9999999.0,9999999.0,14.835,13.411,10.268,9999999.0,9999999.0,9999999.0,9999999.0,18.68,18.15
3,AGN,3.77e-15,4.85e-15,7.43e-15,1.62e-14,9999999.0,9999999.0,20.78,9999999.0,9999999.0,9999999.0,9999999.0,15.836,14.578,11.592,9999999.0,9999999.0,9999999.0,9999999.0,20.09,9999999.0
4,AGN,2.86e-15,4.75e-15,9.41e-15,1.43e-14,9999999.0,9999999.0,19.88,9999999.0,9999999.0,9999999.0,9999999.0,16.041,14.646,11.551,9999999.0,9999999.0,9999999.0,9999999.0,20.4,18.8
5,AGN,5.91e-15,1.78e-14,1.98e-14,4.74e-14,9999999.0,9999999.0,17.17,9999999.0,9999999.0,9999999.0,9999999.0,16.91,16.07,12.135,9999999.0,9999999.0,9999999.0,9999999.0,20.49,18.69
6,AGN,1.67e-14,2.08e-14,2.45e-14,5.63e-14,9999999.0,9999999.0,18.93,9999999.0,9999999.0,9999999.0,9999999.0,15.649,15.341,12.262,9999999.0,9999999.0,9999999.0,9999999.0,20.36,18.32
7,AGN,8.76e-15,1.02e-14,8.87e-15,1.36e-14,9999999.0,9999999.0,19.89,9999999.0,9999999.0,9999999.0,9999999.0,16.164,15.353,12.247,9999999.0,9999999.0,9999999.0,9999999.0,20.56,9999999.0
8,AGN,1.45e-15,1.63e-15,5.77e-15,1.49e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,16.183,16.006,12.314,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
9,AGN,2.47e-14,2.51e-14,2.7e-14,5.85e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,16.176,15.78,12.795,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
